,scientific_name,park_name,observations
10021,Acer leucoderme,Yosemite National Park,140
11075,Acer leucoderme,Yellowstone National Park,256
12980,Acer leucoderme,Bryce National Park,125
19035,Acer leucoderme,Great Smoky Mountains National Park,107
2639,Acer macrophyllum,Great Smoky Mountains National Park,33
7199,Acer macrophyllum,Yosemite National Park,134
9225,Acer macrophyllum,Bryce National Park,105
10677,Acer macrophyllum,Yellowstone National Park,252
10265,Acer negundo,Great Smoky Mountains National Park,72
17823,Acer negundo,Yellowstone National Park,257
18052,Acer negundo,Yosemite National Park,179
19533,Acer negundo,Bryce National Park,92
2037,Acer negundo var. violaceum,Bryce National Park,91
4069,Acer negundo var. violaceum,Great Smoky Mountains National Park,84
13633,Acer negundo var. violaceum,Yosemite National Park,164
17225,Acer negundo var. violaceum,Yellowstone National Park,222
2564,Acer nigrum,Yellowstone National Park,258
8834,Acer nigrum,Yosemite National Park,156
8867,Acer nigrum,Great Smoky Mountains National Park,86
16242,Acer nigrum,Bryce National Park,110
4576,Acer pensylvanicum,Bryce National Park,91
8277,Acer pensylvanicum,Yosemite National Park,134
12774,Acer pensylvanicum,Great Smoky Mountains National Park,96
18807,Acer pensylvanicum,Yellowstone National Park,284
4143,Acer platanoides,Great Smoky Mountains National Park,53
6834,Acer platanoides,Bryce National Park,83
14450,Acer platanoides,Yellowstone National Park,243
15084,Acer platanoides,Yosemite National Park,189
5803,Acer rubrum var. rubrum,Bryce National Park,114
7661,Acer rubrum var. rubrum,Great Smoky Mountains National Park,67
17622,Acer rubrum var. rubrum,Yellowstone National Park,274
20782,Acer rubrum var. rubrum,Yosemite National Park,147
7182,Acer rubrum var. trilobum,Great Smoky Mountains National Park,105
8239,Acer rubrum var. trilobum,Bryce National Park,99
10227,Acer rubrum var. trilobum,Yosemite National Park,110
11704,Acer rubrum var. trilobum,Yellowstone National Park,251
613,Acer saccharinum,Yosemite National Park,167
1728,Acer saccharinum,Yellowstone National Park,229
10891,Acer saccharinum,Great Smoky Mountains National Park,86
14802,Acer saccharinum,Bryce National Park,121
10530,Acer saccharum,Great Smoky Mountains National Park,59
16614,Acer saccharum,Yosemite National Park,116
19663,Acer saccharum,Yellowstone National Park,236
22052,Acer saccharum,Bryce National Park,124
2182,Acer spicatum,Yellowstone National Park,263
7068,Acer spicatum,Bryce National Park,89
15672,Acer spicatum,Great Smoky Mountains National Park,82
17436,Acer spicatum,Yosemite National Park,143
8652,Achillea millefolium,Yosemite National Park,168
9708,Achillea millefolium,Great Smoky Mountains National Park,45
19572,Achillea millefolium,Yellowstone National Park,270
23205,Achillea millefolium,Bryce National Park,99
1995,Achillea millefolium var. occidentalis,Bryce National Park,119
2011,Achillea millefolium var. occidentalis,Yellowstone National Park,277
3760,Achillea millefolium var. occidentalis,Great Smoky Mountains National Park,87
16121,Achillea millefolium var. occidentalis,Yosemite National Park,131
4490,Achnatherum contractum,Yellowstone National Park,219
5876,Achnatherum contractum,Yosemite National Park,165
13190,Achnatherum contractum,Bryce National Park,122
18286,Achnatherum contractum,Great Smoky Mountains National Park,43
6683,Achnatherum hymenoides,Great Smoky Mountains National Park,88
7121,Achnatherum hymenoides,Yellowstone National Park,233
16509,Achnatherum hymenoides,Yosemite National Park,156
18580,Achnatherum hymenoides,Bryce National Park,90
3593,Achnatherum latiglume,Bryce National Park,92
17875,Achnatherum latiglume,Yosemite National Park,137
20620,Achnatherum latiglume,Great Smoky Mountains National Park,76
23006,Achnatherum latiglume,Yellowstone National Park,233
1510,Achnatherum lemmonii,Yellowstone National Park,245
2556,Achnatherum lemmonii,Yosemite National Park,149
8056,Achnatherum lemmonii,Great Smoky Mountains National Park,100
9547,Achnatherum lemmonii,Bryce National Park,87
13170,Achnatherum lettermanii,Bryce National Park,63
14351,Achnatherum lettermanii,Yosemite National Park,129
19746,Achnatherum lettermanii,Great Smoky Mountains National Park,60
22830,Achnatherum lettermanii,Yellowstone National Park,252
3971,Achnatherum nelsonii ssp. dorei,Bryce National Park,101
5661,Achnatherum nelsonii ssp. dorei,Great Smoky Mountains National Park,63
14927,Achnatherum nelsonii ssp. dorei,Yosemite National Park,151
16326,Achnatherum nelsonii ssp. dorei,Yellowstone National Park,221
1703,Achnatherum nevadense,Yellowstone National Park,272
9946,Achnatherum nevadense,Bryce National Park,74
14552,Achnatherum nevadense,Yosemite National Park,149
19756,Achnatherum nevadense,Great Smoky Mountains National Park,36
1214,Achnatherum occidentale,Bryce National Park,106
2519,Achnatherum occidentale,Yosemite National Park,171
4306,Achnatherum occidentale,Yellowstone National Park,258
16305,Achnatherum occidentale,Great Smoky Mountains National Park,73
930,Achnatherum occidentale ssp. californicum,Bryce National Park,77
10216,Achnatherum occidentale ssp. californicum,Great Smoky Mountains National Park,93
15103,Achnatherum occidentale ssp. californicum,Yellowstone National Park,235
21701,Achnatherum occidentale ssp. californicum,Yosemite National Park,174
7014,Achnatherum occidentale ssp. occidentale,Yosemite National Park,148
18481,Achnatherum occidentale ssp. occidentale,Bryce National Park,122
21480,Achnatherum occidentale ssp. occidentale,Great Smoky Mountains National Park,68
22907,Achnatherum occidentale ssp. occidentale,Yellowstone National Park,233
11516,Achnatherum occidentale ssp. pubescens,Yosemite National Park,148
12079,Achnatherum occidentale ssp. pubescens,Bryce National Park,58
19679,Achnatherum occidentale ssp. pubescens,Yellowstone National Park,202
20453,Achnatherum occidentale ssp. pubescens,Great Smoky Mountains National Park,57
5553,Achnatherum pinetorum,Bryce National Park,101
9309,Achnatherum pinetorum,Yosemite National Park,129
13439,Achnatherum pinetorum,Yellowstone National Park,288
15697,Achnatherum pinetorum,Great Smoky Mountains National Park,75
3407,Achnatherum richardsonii,Bryce National Park,76
18194,Achnatherum richardsonii,Yellowstone National Park,255
19979,Achnatherum richardsonii,Yosemite National Park,143
20601,Achnatherum richardsonii,Great Smoky Mountains National Park,96
1557,Achnatherum thurberianum,Great Smoky Mountains National Park,73
5195,Achnatherum thurberianum,Yosemite National Park,148
5853,Achnatherum thurberianum,Yellowstone National Park,251
19888,Achnatherum thurberianum,Bryce National Park,71
607,Achnatherum X bloomeri,Yellowstone National Park,261
7194,Achnatherum X bloomeri,Bryce National Park,91
10941,Achnatherum X bloomeri,Yosemite National Park,155
13289,Achnatherum X bloomeri,Great Smoky Mountains National Park,82
3942,Aconitum columbianum,Yosemite National Park,136
5712,Aconitum columbianum,Great Smoky Mountains National Park,77
9259,Aconitum columbianum,Bryce National Park,63
18421,Aconitum columbianum,Yellowstone National Park,242
2694,Aconitum columbianum ssp. columbianum,Great Smoky Mountains National Park,91
6146,Aconitum columbianum ssp. columbianum,Yosemite National Park,162
7386,Aconitum columbianum ssp. columbianum,Yellowstone National Park,242
7879,Aconitum columbianum ssp. columbianum,Bryce National Park,112
18282,Aconitum uncinatum,Yosemite National Park,142
18600,Aconitum uncinatum,Great Smoky Mountains National Park,77
20407,Aconitum uncinatum,Bryce National Park,115
22921,Aconitum uncinatum,Yellowstone National Park,248
7730,Acorus calamus,Great Smoky Mountains National Park,63
9749,Acorus calamus,Yosemite National Park,178
17649,Acorus calamus,Bryce National Park,121
19765,Acorus calamus,Yellowstone National Park,232
10266,Acris crepitans crepitans,Yosemite National Park,132
11661,Acris crepitans crepitans,Yellowstone National Park,228
17751,Acris crepitans crepitans,Bryce National Park,112
21086,Acris crepitans crepitans,Great Smoky Mountains National Park,59
2107,Acrobolbus ciliatus,Great Smoky Mountains National Park,77
4682,Acrobolbus ciliatus,Yellowstone National Park,233
16373,Acrobolbus ciliatus,Bryce National Park,114
22579,Acrobolbus ciliatus,Yosemite National Park,131
7455,Actaea pachypoda,Yosemite National Park,112
11621,Actaea pachypoda,Great Smoky Mountains National Park,78
12928,Actaea pachypoda,Bryce National Park,92
19496,Actaea pachypoda,Yellowstone National Park,225
9965,Actaea rubra,Bryce National Park,141
16957,Actaea rubra,Great Smoky Mountains National Park,77
18058,Actaea rubra,Yosemite National Park,151
21673,Actaea rubra,Yellowstone National Park,219
547,Actitis macularia,Bryce National Park,91
1558,Actitis macularia,Great Smoky Mountains National Park,66
13998,Actitis macularia,Yellowstone National Park,265
22290,Actitis macularia,Yosemite National Park,156
3570,Actitis macularius,Great Smoky Mountains National Park,87
6144,Actitis macularius,Yosemite National Park,181
17293,Actitis macularius,Bryce National Park,86
18350,Actitis macularius,Yellowstone National Park,290
635,Adenocaulon bicolor,Yosemite National Park,130
1449,Adenocaulon bicolor,Bryce National Park,123
2930,Adenocaulon bicolor,Yellowstone National Park,210
14024,Adenocaulon bicolor,Great Smoky Mountains National Park,97
15713,Adenostoma fasciculatum,Great Smoky Mountains National Park,57
16010,Adenostoma fasciculatum,Yellowstone National Park,245
16205,Adenostoma fasciculatum,Bryce National Park,128
20546,Adenostoma fasciculatum,Yosemite National Park,148
2372,Adiantum aleuticum,Great Smoky Mountains National Park,112
12420,Adiantum aleuticum,Yellowstone National Park,231
21140,Adiantum aleuticum,Bryce National Park,114
21784,Adiantum aleuticum,Yosemite National Park,152
1633,Adiantum jordanii,Yellowstone National Park,249
13219,Adiantum jordanii,Great Smoky Mountains National Park,62
18744,Adiantum jordanii,Bryce National Park,93
22592,Adiantum jordanii,Yosemite National Park,155
4066,Adiantum pedatum,Bryce National Park,94
18510,Adiantum pedatum,Yellowstone National Park,241
21259,Adiantum pedatum,Great Smoky Mountains National Park,110
22760,Adiantum pedatum,Yosemite National Park,127
1258,Adlumia fungosa,Great Smoky Mountains National Park,53
3496,Adlumia fungosa,Yosemite National Park,144
5299,Adlumia fungosa,Yellowstone National Park,246
14453,Adlumia fungosa,Bryce National Park,69
6123,Adoxa moschatellina,Great Smoky Mountains National Park,86
11397,Adoxa moschatellina,Yosemite National Park,155
12107,Adoxa moschatellina,Bryce National Park,121
22365,Adoxa moschatellina,Yellowstone National Park,250
889,Aechmophorus clarkii,Yosemite National Park,166
9842,Aechmophorus clarkii,Yellowstone National Park,244
15539,Aechmophorus clarkii,Bryce National Park,99
19523,Aechmophorus clarkii,Great Smoky Mountains National Park,68
4548,Aechmophorus occidentalis,Yosemite National Park,132
7423,Aechmophorus occidentalis,Bryce National Park,80
15072,Aechmophorus occidentalis,Yellowstone National Park,233
22302,Aechmophorus occidentalis,Great Smoky Mountains National Park,64
1183,Aegilops cylindrica,Great Smoky Mountains National Park,66
3965,Aegilops cylindrica,Yellowstone National Park,245
13438,Aegilops cylindrica,Yosemite National Park,149
19106,Aegilops cylindrica,Bryce National Park,76
964,Aegolius,Great Smoky Mountains National Park,42
6713,Aegolius,Yosemite National Park,191
8226,Aegolius,Bryce National Park,95
12553,Aegolius,Yellowstone National Park,263
7148,Aegolius acadicus,Great Smoky Mountains National Park,86
7357,Aegolius acadicus,Bryce National Park,131
14451,Aegolius acadicus,Yosemite National Park,91
16298,Aegolius acadicus,Yellowstone National Park,234
1135,Aegolius funereus,Bryce National Park,73
3484,Aegolius funereus,Great Smoky Mountains National Park,82
6526,Aegolius funereus,Yellowstone National Park,260
21144,Aegolius funereus,Yosemite National Park,167
9159,Aegopodium podagraria,Yellowstone National Park,249
12641,Aegopodium podagraria,Great Smoky Mountains National Park,52
14845,Aegopodium podagraria,Bryce National Park,112
19469,Aegopodium podagraria,Yosemite National Park,198
3224,Aeronautes saxatalis,Yosemite National Park,178
3306,Aeronautes saxatalis,Bryce National Park,95
4765,Aeronautes saxatalis,Yellowstone National Park,264
10375,Aeronautes saxatalis,Great Smoky Mountains National Park,77
4260,Aesculus californica,Yosemite National Park,128
5572,Aesculus californica,Bryce National Park,108
13324,Aesculus californica,Yellowstone National Park,246
17467,Aesculus californica,Great Smoky Mountains National Park,89
3483,Aesculus flava,Great Smoky Mountains National Park,73
7169,Aesculus flava,Yosemite National Park,119
9026,Aesculus flava,Bryce National Park,117
16825,Aesculus flava,Yellowstone National Park,212
6338,Aesculus glabra,Great Smoky Mountains National Park,94
13326,Aesculus glabra,Bryce National Park,76
14244,Aesculus glabra,Yosemite National Park,163
22045,Aesculus glabra,Yellowstone National Park,247
690,Aesculus pavia,Yosemite National Park,164
2344,Aesculus pavia,Yellowstone National Park,199
6903,Aesculus pavia,Great Smoky Mountains National Park,49
12521,Aesculus pavia,Bryce National Park,133
3119,Aesculus sylvatica,Yellowstone National Park,263
13924,Aesculus sylvatica,Great Smoky Mountains National Park,69
15250,Aesculus sylvatica,Bryce National Park,100
19887,Aesculus sylvatica,Yosemite National Park,157
2772,Agalinis purpurea,Bryce National Park,91
10620,Agalinis purpurea,Yellowstone National Park,263
18725,Agalinis purpurea,Great Smoky Mountains National Park,71
22158,Agalinis purpurea,Yosemite National Park,176
1179,Agalinis setacea,Great Smoky Mountains National Park,82
3545,Agalinis setacea,Bryce National Park,116
15032,Agalinis setacea,Yosemite National Park,190
15435,Agalinis setacea,Yellowstone National Park,202
5543,Agalinis tenuifolia,Bryce National Park,73
11925,Agalinis tenuifolia,Yellowstone National Park,257
19655,Agalinis tenuifolia,Yosemite National Park,145
22409,Agalinis tenuifolia,Great Smoky Mountains National Park,59
11201,Agastache nepetoides,Yellowstone National Park,237
15430,Agastache nepetoides,Great Smoky Mountains National Park,76
21558,Agastache nepetoides,Yosemite National Park,144
22679,Agastache nepetoides,Bryce National Park,106
9086,Agastache scrophulariifolia,Bryce National Park,116
9937,Agastache scrophulariifolia,Yosemite National Park,133
11442,Agastache scrophulariifolia,Great Smoky Mountains National Park,55
19780,Agastache scrophulariifolia,Yellowstone National Park,232
3140,Agastache urticifolia,Great Smoky Mountains National Park,57
12580,Agastache urticifolia,Bryce National Park,95
17313,Agastache urticifolia,Yellowstone National Park,236
20262,Agastache urticifolia,Yosemite National Park,144
15322,Agelaius phoeniceus,Yellowstone National Park,250
19637,Agelaius phoeniceus,Bryce National Park,97
20100,Agelaius phoeniceus,Yosemite National Park,155
22196,Agelaius phoeniceus,Great Smoky Mountains National Park,83
6688,Ageratina altissima,Bryce National Park,94
8363,Ageratina altissima,Great Smoky Mountains National Park,64
10193,Ageratina altissima,Yellowstone National Park,254
14846,Ageratina altissima,Yosemite National Park,178
2457,Ageratina altissima var. altissima,Yellowstone National Park,249
7705,Ageratina altissima var. altissima,Great Smoky Mountains National Park,81
15633,Ageratina altissima var. altissima,Bryce National Park,120
18306,Ageratina altissima var. altissima,Yosemite National Park,152
5388,Ageratina altissima var. roanensis,Yellowstone National Park,249
8081,Ageratina altissima var. roanensis,Yosemite National Park,139
10656,Ageratina altissima var. roanensis,Bryce National Park,96
16180,Ageratina altissima var. roanensis,Great Smoky Mountains National Park,63
9540,Ageratina aromatica var. aromatica,Yellowstone National Park,205
10041,Ageratina aromatica var. aromatica,Great Smoky Mountains National Park,84
10914,Ageratina aromatica var. aromatica,Yosemite National Park,117
11452,Ageratina aromatica var. aromatica,Bryce National Park,110
304,Ageratina occidentalis,Yellowstone National Park,246
4580,Ageratina occidentalis,Bryce National Park,89
17806,Ageratina occidentalis,Yosemite National Park,146
22054,Ageratina occidentalis,Great Smoky Mountains National Park,74
3925,Agkistrodon contortrix mokasen,Yosemite National Park,152
9852,Agkistrodon contortrix mokasen,Great Smoky Mountains National Park,43
12037,Agkistrodon contortrix mokasen,Yellowstone National Park,212
18018,Agkistrodon contortrix mokasen,Bryce National Park,101
239,Agoseris aurantiaca,Yellowstone National Park,241
1866,Agoseris aurantiaca,Bryce National Park,111
4613,Agoseris aurantiaca,Great Smoky Mountains National Park,81
12207,Agoseris aurantiaca,Yosemite National Park,146
5730,Agoseris elata,Bryce National Park,114
5899,Agoseris elata,Great Smoky Mountains National Park,68
6216,Agoseris elata,Yosemite National Park,130
19952,Agoseris elata,Yellowstone National Park,239
7252,Agoseris glauca var. dasycephala,Yosemite National Park,154
8703,Agoseris glauca var. dasycephala,Bryce National Park,114
9055,Agoseris glauca var. dasycephala,Great Smoky Mountains National Park,93
10474,Agoseris glauca var. dasycephala,Yellowstone National Park,257
6496,Agoseris glauca var. glauca,Bryce National Park,100
21416,Agoseris glauca var. glauca,Great Smoky Mountains National Park,62
21838,Agoseris glauca var. glauca,Yosemite National Park,169
22883,Agoseris glauca var. glauca,Yellowstone National Park,280
2683,Agoseris glauca var. laciniata,Yellowstone National Park,290
8283,Agoseris glauca var. laciniata,Yosemite National Park,146
9726,Agoseris glauca var. laciniata,Bryce National Park,120
21178,Agoseris glauca var. laciniata,Great Smoky Mountains National Park,43
3803,Agoseris glauca var. monticola,Yosemite National Park,138
8576,Agoseris glauca var. monticola,Great Smoky Mountains National Park,40
12694,Agoseris glauca var. monticola,Yellowstone National Park,245
15493,Agoseris glauca var. monticola,Bryce National Park,61
942,Agoseris grandiflora,Bryce National Park,107
6379,Agoseris grandiflora,Great Smoky Mountains National Park,68
12371,Agoseris grandiflora,Yosemite National Park,181
13407,Agoseris grandiflora,Yellowstone National Park,221
2336,Agoseris heterophylla,Yosemite National Park,147
4555,Agoseris heterophylla,Bryce National Park,120
5768,Agoseris heterophylla,Great Smoky Mountains National Park,92
22695,Agoseris heterophylla,Yellowstone National Park,277
1535,Agoseris lackschewitzii,Yosemite National Park,138
13535,Agoseris lackschewitzii,Great Smoky Mountains National Park,46
14041,Agoseris lackschewitzii,Bryce National Park,94
19924,Agoseris lackschewitzii,Yellowstone National Park,263
2998,Agoseris retrorsa,Great Smoky Mountains National Park,84
3920,Agoseris retrorsa,Bryce National Park,124
8713,Agoseris retrorsa,Yosemite National Park,118
12004,Agoseris retrorsa,Yellowstone National Park,280
15166,Agrimonia gryposepala,Bryce National Park,80
19118,Agrimonia gryposepala,Yosemite National Park,145
20381,Agrimonia gryposepala,Yellowstone National Park,232
22927,Agrimonia gryposepala,Great Smoky Mountains National Park,67
1754,Agrimonia microcarpa,Yosemite National Park,126
3488,Agrimonia microcarpa,Yellowstone National Park,254
7767,Agrimonia microcarpa,Great Smoky Mountains National Park,80
21199,Agrimonia microcarpa,Bryce National Park,101
9647,Agrimonia parviflora,Yellowstone National Park,232
10013,Agrimonia parviflora,Bryce National Park,105
14241,Agrimonia parviflora,Great Smoky Mountains National Park,78
22273,Agrimonia parviflora,Yosemite National Park,168
3765,Agrimonia pubescens,Yellowstone National Park,238
14229,Agrimonia pubescens,Great Smoky Mountains National Park,93
18654,Agrimonia pubescens,Bryce National Park,117
19716,Agrimonia pubescens,Yosemite National Park,154
664,Agrimonia rostellata,Yosemite National Park,148
2400,Agrimonia rostellata,Great Smoky Mountains National Park,116
10733,Agrimonia rostellata,Bryce National Park,101
15384,Agrimonia rostellata,Yellowstone National Park,249
509,Agrostemma githago,Yosemite National Park,186
3437,Agrostemma githago,Bryce National Park,92
6204,Agrostemma githago,Great Smoky Mountains National Park,134
9410,Agrostemma githago,Yellowstone National Park,260
792,Agrostis capillaris,Great Smoky Mountains National Park,84
3993,Agrostis capillaris,Bryce National Park,103
4864,Agrostis capillaris,Bryce National Park,105
6166,Agrostis capillaris,Yellowstone National Park,241
7750,Agrostis capillaris,Yosemite National Park,182
10379,Agrostis capillaris,Yellowstone National Park,267
17428,Agrostis capillaris,Great Smoky Mountains National Park,97
17735,Agrostis capillaris,Yosemite National Park,140
4388,Agrostis elliottiana,Yellowstone National Park,235
6021,Agrostis elliottiana,Yosemite National Park,163
15521,Agrostis elliottiana,Great Smoky Mountains National Park,72
21221,Agrostis elliottiana,Bryce National Park,74
676,Agrostis exarata,Bryce National Park,105
8512,Agrostis exarata,Yosemite National Park,116
12186,Agrostis exarata,Great Smoky Mountains National Park,93
14499,Agrostis exarata,Yellowstone National Park,241
449,Agrostis gigantea,Yellowstone National Park,253
483,Agrostis gigantea,Yellowstone National Park,235
6824,Agrostis gigantea,Bryce National Park,104
7763,Agrostis gigantea,Great Smoky Mountains National Park,93
8676,Agrostis gigantea,Bryce National Park,116
11602,Agrostis gigantea,Great Smoky Mountains National Park,57
13907,Agrostis gigantea,Yosemite National Park,148
17535,Agrostis gigantea,Yosemite National Park,128
6435,Agrostis humilis,Bryce National Park,108
8885,Agrostis humilis,Yellowstone National Park,250
18827,Agrostis humilis,Yosemite National Park,179
22245,Agrostis humilis,Great Smoky Mountains National Park,115
1507,Agrostis hyemalis,Yosemite National Park,152
12111,Agrostis hyemalis,Great Smoky Mountains National Park,59
14985,Agrostis hyemalis,Yellowstone National Park,255
19552,Agrostis hyemalis,Bryce National Park,64
1201,Agrostis idahoensis,Yosemite National Park,144
11751,Agrostis idahoensis,Great Smoky Mountains National Park,42
22610,Agrostis idahoensis,Bryce National Park,91
22775,Agrostis idahoensis,Yellowstone National Park,249
111,Agrostis mertensii,Yosemite National Park,135
490,Agrostis mertensii,Yosemite National Park,128
775,Agrostis mertensii,Great Smoky Mountains National Park,54
1740,Agrostis mertensii,Yellowstone National Park,271
3199,Agrostis mertensii,Bryce National Park,74
6169,Agrostis mertensii,Yellowstone National Park,251
9721,Agrostis mertensii,Great Smoky Mountains National Park,87
18314,Agrostis mertensii,Bryce National Park,88
14415,Agrostis oregonensis,Yellowstone National Park,300
14442,Agrostis oregonensis,Great Smoky Mountains National Park,74
19252,Agrostis oregonensis,Yosemite National Park,139
21553,Agrostis oregonensis,Bryce National Park,87
2623,Agrostis pallens,Bryce National Park,77
5063,Agrostis pallens,Yosemite National Park,163
5780,Agrostis pallens,Great Smoky Mountains National Park,50
10611,Agrostis pallens,Yellowstone National Park,240
2356,Agrostis perennans,Yosemite National Park,151
4509,Agrostis perennans,Yellowstone National Park,236
15508,Agrostis perennans,Bryce National Park,134
19513,Agrostis perennans,Great Smoky Mountains National Park,89
10967,Agrostis rossiae,Great Smoky Mountains National Park,95
14895,Agrostis rossiae,Bryce National Park,107
20091,Agrostis rossiae,Yellowstone National Park,250
20588,Agrostis rossiae,Yosemite National Park,192
7759,Agrostis scabra,Yellowstone National Park,247
7935,Agrostis scabra,Great Smoky Mountains National Park,91
8147,Agrostis scabra,Yellowstone National Park,253
12730,Agrostis scabra,Great Smoky Mountains National Park,48
16448,Agrostis scabra,Yosemite National Park,162
17994,Agrostis scabra,Bryce National Park,60
18036,Agrostis scabra,Yosemite National Park,170
23259,Agrostis scabra,Bryce National Park,118
2729,Agrostis scabra var. scabra,Yosemite National Park,125
3222,Agrostis scabra var. scabra,Bryce National Park,92
5033,Agrostis scabra var. scabra,Yellowstone National Park,260
7021,Agrostis scabra var. scabra,Great Smoky Mountains National Park,74
719,Agrostis stolonifera,Bryce National Park,101
745,Agrostis stolonifera,Yosemite National Park,122
8330,Agrostis stolonifera,Yellowstone National Park,262
9130,Agrostis stolonifera,Great Smoky Mountains National Park,77
16663,Agrostis stolonifera,Yellowstone National Park,288
16805,Agrostis stolonifera,Great Smoky Mountains National Park,106
22570,Agrostis stolonifera,Bryce National Park,81
22613,Agrostis stolonifera,Yosemite National Park,156
1764,Agrostis thurberiana,Yosemite National Park,154
2181,Agrostis thurberiana,Great Smoky Mountains National Park,39
3603,Agrostis thurberiana,Bryce National Park,105
11559,Agrostis thurberiana,Yellowstone National Park,244
6083,Agrostis variabilis,Yosemite National Park,183
8002,Agrostis variabilis,Yellowstone National Park,251
12392,Agrostis variabilis,Yosemite National Park,199
13187,Agrostis variabilis,Bryce National Park,93
15367,Agrostis variabilis,Great Smoky Mountains National Park,105
18757,Agrostis variabilis,Bryce National Park,103
19479,Agrostis variabilis,Yellowstone National Park,259
22573,Agrostis variabilis,Great Smoky Mountains National Park,48
297,Ailanthus altissima,Bryce National Park,73
3454,Ailanthus altissima,Yellowstone National Park,273
4985,Ailanthus altissima,Yosemite National Park,148
18571,Ailanthus altissima,Great Smoky Mountains National Park,82
4457,Aimophila aestivalis,Bryce National Park,94
14992,Aimophila aestivalis,Great Smoky Mountains National Park,49
15890,Aimophila aestivalis,Yosemite National Park,146
18773,Aimophila aestivalis,Yellowstone National Park,228
3206,Aimophila ruficeps,Bryce National Park,82
7361,Aimophila ruficeps,Yosemite National Park,166
14269,Aimophila ruficeps,Great Smoky Mountains National Park,51
20414,Aimophila ruficeps,Yellowstone National Park,238
2315,Aira caryophyllea,Bryce National Park,96
10136,Aira caryophyllea,Yellowstone National Park,222
13765,Aira caryophyllea,Great Smoky Mountains National Park,64
15370,Aira caryophyllea,Yosemite National Park,150
202,Aix sponsa,Yosemite National Park,152
4545,Aix sponsa,Bryce National Park,95
13071,Aix sponsa,Yellowstone National Park,278
13501,Aix sponsa,Great Smoky Mountains National Park,77
168,Ajuga reptans,Great Smoky Mountains National Park,60
8555,Ajuga reptans,Yosemite National Park,155
9451,Ajuga reptans,Yellowstone National Park,226
21111,Ajuga reptans,Bryce National Park,91
1523,Albizia julibrissin,Yellowstone National Park,243
19304,Albizia julibrissin,Bryce National Park,71
